name,image,code,category,subtype,Company,product link
8 Ch. 4K 8PoE Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1895p_cp-vnr-3208-8p.jpg,CP-VNR-3208-8P,8ch_nvr,indigo,CP_Plus,http://www.cpplusworld.com/cp-vnr-3208-8p
16 Ch. H.265 Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2162-v2.jpg,CP-UNR-4K2162-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k2162-v2
16 Ch. H.265 Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2161-v2.jpg,CP-UNR-4K2161-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k2161-v2
16 Ch. H.265 4K Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1818p_cp-unr-4k5164-p16v2.jpg,CP-UNR-4K5164-P16V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k5164-p16v2
16 Ch. Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium937p_mini1u.jpg,CP-UNR-416T1,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-416t1
16 Ch. Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1702p_cp-unr-216t1-v2.jpg,CP-UNR-216T1-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-216t1-v2
16 Ch. Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1701p_cp-unr-216t2-v2.jpg,CP-UNR-216T2-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-216t2-v2
16 Ch. H.265 4K Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1664p_cp-unr-4k4168-v2.jpg,CP-UNR-4K4168-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k4168-v2
16 Ch. H.265 4K Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1662p_cp-unr-4k4164-v2.jpg,CP-UNR-4K4164-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k4164-v2
16 Ch. H.265 4K Network Video Recorder,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1660p_cp-unr-4k4162-v2.jpg,CP-UNR-4K4162-V2,16ch_nvr,default,CP_Plus,http://www.cpplusworld.com/cp-unr-4k4162-v2
