name,image,code,category,sub_type,company,product_link
8 Channel Penta-brid 4K Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5108H-4KL-8P_thumb.png,XVR5108H-4KL-8P,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/18471 
4/8/16 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104_08_16H-S2_thumb.png,XVR5104/08/16H-S2,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/17371 
4/8/16 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104_08_16HE-S2_thumb.png,XVR5104/08/16HE-S2,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/17361 
4 Channel Penta-brid 1080P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR5104HS-X_thumb.png,XVR5104HS-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/21807 
8 Channel Penta-brid 720P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR4108HS-X_thumb.png,XVR4108HS-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/21777 
4 Channel Penta-brid 720P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR4104HS-X_thumb.png,XVR4104HS-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/21757 
8/16 Channel Penta-brid 1080P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108-16HS-X_thumb.png,XVR5108/16HS-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/20507 
8 Channel Penta-brid 4K Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108HS-4KL-X_thumb.png,XVR5108HS-4KL-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/20477 
4 Channel Penta-brid 4K Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5104HS-4KL-X_thumb.png,XVR5104HS-4KL-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/20457 
16 Channel Penta-brid 720P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR4116HS-X_thumb.png,XVR4116HS-X,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/20417 
4/8/16 Channel Penta-brid 1080P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104_08_16HS-S2_thumb.png,XVR5104/08/16HS-S2,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/17351 
4/8/16 Channel Penta-brid 720P Compact 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR4104_08_16HS-S_thumb.png,XVR4104/08/16HS-S2,light_dvr,Compact default,Dahua,https://www.dahuasecurity.com/products/productDetail/17341 
4 Channel Penta-brid 1080P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR5104C-X_thumb.png,XVR5104C-X,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/21787 
8 Channel Penta-brid 720P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR4108C-X_thumb.png,XVR4108C-X,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/21767 
4 Channel Penta-brid 720P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR4104C-X_thumb.png,XVR4104C-X,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/21737 
8 Channel Penta-brid 1080P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108C-X_thumb.png,XVR5108C-X,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/20527 
4 Channel Penta-brid 4K Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5104C-4KL-X_thumb.png,XVR5104C-4KL-X,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/20437 
4/8 Channel Penta-brid 1080P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104_08C-S2_thumb.png,XVR5104/08C-S2,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/17391 
4/8 Channel Penta-brid 720P Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR4104_08C-S_thumb.png,XVR4104/08C-S2,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/17381 
4 Channel Penta-brid 4MP Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104C-4M1_thumb.png,XVR5104C-4M,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/16591 
4/8 Channel Penta-brid 1080P Lite Smart 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5104_08C_thumb.png,XVR5104/08C,light_dvr,Smart default,Dahua,https://www.dahuasecurity.com/products/productDetail/3211 
4/8 Channel Penta-brid 1080N/720P Cooper 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180511/DH-XVR1A04-08_thumb.png,XVR1A04/08,ultra_dvr,Cooper default,Dahua,https://www.dahuasecurity.com/products/productDetail/22537 
Alarm Box,https://www.dahuasecurity.com/asset/upload/product/20180416/Alarm-Box_thumb.png,DHI- ARB1606,ultra_dvr,Alarm Box,Dahua,https://www.dahuasecurity.com/products/productDetail/21387 
